food_portion_modifier,food_portion_gram_weight,food_portion_desription,food_portion_measure_unit_name,food_portion_measure_unit_abbreviation,active,ingredient_id
,246,1 cup,,,1,7
,30.8,1 fl oz,,,1,7
,0,Quantity not specified,,,1,7
,244,1 cup,,,1,8
,30.5,1 fl oz,,,1,8
,61,Guideline amount per cup of hot cereal,,,1,8
,2.5,Guideline amount per fl oz of beverage,,,1,8
,244,1 individual school container,,,1,8
,244,Quantity not specified,,,1,8
,244,1 cup,,,1,9
,30.5,1 fl oz,,,1,9
,2.5,Guideline amount per fl oz of beverage,,,1,9
,61,Guideline amount per cup of hot cereal,,,1,9
,244,1 individual school container,,,1,9
,244,Quantity not specified,,,1,9
,30.5,1 fl oz,,,1,10
,2.5,Guideline amount per fl oz of beverage,,,1,10
,61,Guideline amount per cup of hot cereal,,,1,10
,244,Quantity not specified,,,1,10
,244,1 cup,,,1,10
,244,1 cup,,,1,11
,30.5,1 fl oz,,,1,11
,2.5,Guideline amount per fl oz of beverage,,,1,11
,61,Guideline amount per cup of hot cereal,,,1,11
,244,Quantity not specified,,,1,11
,244,1 cup,,,1,12
,30.5,1 fl oz,,,1,12
,2.5,Guideline amount per fl oz of beverage,,,1,12
,61,Guideline amount per cup of hot cereal,,,1,12
,244,Quantity not specified,,,1,12
,244,1 cup,,,1,13
,30.5,1 fl oz,,,1,13
,2.5,Guideline amount per fl oz of beverage,,,1,13
,61,Guideline amount per cup of hot cereal,,,1,13
,244,Quantity not specified,,,1,13
,244,1 cup,,,1,14
,30.5,1 fl oz,,,1,14
,2.5,Guideline amount per fl oz of beverage,,,1,14
,61,Guideline amount per cup of hot cereal,,,1,14
,244,1 individual school container,,,1,14
,244,Quantity not specified,,,1,14
,244,1 cup,,,1,15
,30.5,1 fl oz,,,1,15
,2.5,Guideline amount per fl oz of beverage,,,1,15
,61,Guideline amount per cup of hot cereal,,,1,15
,244,Quantity not specified,,,1,15
,244,1 cup,,,1,16
,30.5,1 fl oz,,,1,16
,2.5,Guideline amount per fl oz of beverage,,,1,16
,61,Guideline amount per cup of hot cereal,,,1,16
,244,Quantity not specified,,,1,16
,244,1 cup,,,1,17
,30.5,1 fl oz,,,1,17
,61,Guideline amount per cup of hot cereal,,,1,17
,2.5,Guideline amount per fl oz of beverage,,,1,17
,244,1 individual school container,,,1,17
,244,Quantity not specified,,,1,17
,244,1 cup,,,1,18
,30.5,1 fl oz,,,1,18
,2.5,Guideline amount per fl oz of beverage,,,1,18
,61,Guideline amount per cup of hot cereal,,,1,18
,244,1 individual school container,,,1,18
,244,Quantity not specified,,,1,18
,30.5,1 fl oz,,,1,19
,244,1 cup,,,1,19
,2.5,Guideline amount per fl oz of beverage,,,1,19
,61,Guideline amount per cup of hot cereal,,,1,19
,244,Quantity not specified,,,1,19
,30.5,1 fl oz,,,1,20
,2.5,Guideline amount per fl oz of beverage,,,1,20
,61,Guideline amount per cup of hot cereal,,,1,20
,244,Quantity not specified,,,1,20
,244,1 cup,,,1,20
,244,1 cup,,,1,21
,30.5,1 fl oz,,,1,21
,2.5,Guideline amount per fl oz of beverage,,,1,21
,61,Guideline amount per cup of hot cereal,,,1,21
,244,Quantity not specified,,,1,21
,244,1 cup,,,1,22
,30.5,1 fl oz,,,1,22
,2.5,Guideline amount per fl oz of beverage,,,1,22
,61,Guideline amount per cup of hot cereal,,,1,22
,244,Quantity not specified,,,1,22
,30.5,1 fl oz,,,1,23
,2.6,Guideline amount per fl oz of beverage,,,1,23
,61,Guideline amount per cup of hot cereal,,,1,23
,244,Quantity not specified,,,1,23
,244,1 cup,,,1,23
,244,1 cup,,,1,24
,30.5,1 fl oz,,,1,24
,2.6,Guideline amount per fl oz of beverage,,,1,24
,61,Guideline amount per cup of hot cereal,,,1,24
,244,Quantity not specified,,,1,24
,244,1 cup,,,1,25
,30.5,1 fl oz,,,1,25
,2.6,Guideline amount per fl oz of beverage,,,1,25
,244,Quantity not specified,,,1,25
,61,Guideline amount per cup of hot cereal,,,1,25
,244,1 cup,,,1,26
,30.5,1 fl oz,,,1,26
,2.6,Guideline amount per fl oz of beverage,,,1,26
,61,Guideline amount per cup of hot cereal,,,1,26
,244,Quantity not specified,,,1,26
,244,1 cup,,,1,27
,30.5,1 fl oz,,,1,27
,244,Quantity not specified,,,1,27
,244,1 cup,,,1,28
,30.5,1 fl oz,,,1,28
,2.5,Guideline amount per fl oz of beverage,,,1,28
,61,Guideline amount per cup of hot cereal,,,1,28
,244,Quantity not specified,,,1,28
,244,1 cup,,,1,29
,30.5,1 fl oz,,,1,29
,2.5,Guideline amount per fl oz of beverage,,,1,29
,61,Guideline amount per cup of hot cereal,,,1,29
,244,Quantity not specified,,,1,29
,244,1 cup,,,1,30
,30.5,1 fl oz,,,1,30
,2.5,Guideline amount per fl oz of beverage,,,1,30
,61,Guideline amount per cup of hot cereal,,,1,30
,244,Quantity not specified,,,1,30
,244,1 cup,,,1,31
,30.5,1 fl oz,,,1,31
,2.5,Guideline amount per fl oz of beverage,,,1,31
,61,Guideline amount per cup of hot cereal,,,1,31
,244,Quantity not specified,,,1,31
,244,1 cup,,,1,32
,30.5,1 fl oz,,,1,32
,61,Guideline amount per cup of hot cereal,,,1,32
,244,Quantity not specified,,,1,32
,2.5,Guideline amount per fl oz of beverage,,,1,32
,252,1 cup,,,1,33
,31.5,1 fl oz,,,1,33
,2.6,Guideline amount per fl oz of beverage,,,1,33
,16,Quantity not specified,,,1,33
,16,"Quantity not specified, if in beverage",,,1,33
,126,"Quantity not specified, as a drink or on cereal",,,1,33
,252,1 cup,,,1,34
,2.6,Guideline amount per fl oz of beverage,,,1,34
,16,Quantity not specified,,,1,34
,16,"Quantity not specified, if in beverage",,,1,34
,126,"Quantity not specified, as a drink or on cereal",,,1,34
,31.5,1 fl oz,,,1,34
,252,1 cup,,,1,35
,31.5,1 fl oz,,,1,35
,16,Quantity not specified,,,1,35
,126,"Quantity not specified, as a drink or on cereal",,,1,35
,16,"Quantity not specified, if in beverage",,,1,35
,252,1 cup,,,1,36
,31.5,1 fl oz,,,1,36
,2.6,Guideline amount per fl oz of beverage,,,1,36
,16,Quantity not specified,,,1,36
,16,"Quantity not specified, if in beverage",,,1,36
,126,"Quantity not specified, as a drink or on cereal",,,1,36
,38,1 fl oz,,,1,37
,19,Quantity not specified,,,1,37
,304,1 cup,,,1,37
,244,1 cup,,,1,38
,30.5,1 fl oz,,,1,38
,2.5,Guideline amount per fl oz of beverage,,,1,38
,61,Guideline amount per cup of hot cereal,,,1,38
,244,Quantity not specified,,,1,38
,244,1 cup,,,1,39
,30.5,1 fl oz,,,1,39
,2.5,Guideline amount per fl oz of beverage,,,1,39
,61,Guideline amount per cup of hot cereal,,,1,39
,244,Quantity not specified,,,1,39
,244,1 cup,,,1,40
,30.5,1 fl oz,,,1,40
,244,Quantity not specified,,,1,40
,244,1 cup,,,1,41
,30.5,1 fl oz,,,1,41
,244,Quantity not specified,,,1,41
,244,1 cup,,,1,42
,30.5,1 fl oz,,,1,42
,244,Quantity not specified,,,1,42
,244,1 cup,,,1,43
,244,Quantity not specified,,,1,43
,30.5,1 fl oz,,,1,43
,244,1 cup,,,1,44
,30.5,1 fl oz,,,1,44
,2.5,Guideline amount per fl oz of beverage,,,1,44
,61,Guideline amount per cup of hot cereal,,,1,44
,244,Quantity not specified,,,1,44
,244,1 cup,,,1,45
,30.5,1 fl oz,,,1,45
,2.5,Guideline amount per fl oz of beverage,,,1,45
,244,Quantity not specified,,,1,45
,61,Guideline amount per cup of hot cereal,,,1,45
,244,1 cup,,,1,46
,30.5,1 fl oz,,,1,46
,2.5,Guideline amount per fl oz of beverage,,,1,46
,61,Guideline amount per cup of hot cereal,,,1,46
,244,Quantity not specified,,,1,46
,244,1 cup,,,1,47
,30.5,1 fl oz,,,1,47
,244,Quantity not specified,,,1,47
,244,1 cup,,,1,48
,30.5,1 fl oz,,,1,48
,2.5,Guideline amount per fl oz of beverage,,,1,48
,61,Guideline amount per cup of hot cereal,,,1,48
,244,Quantity not specified,,,1,48
,244,1 cup,,,1,49
,30.5,1 fl oz,,,1,49
,2.5,Guideline amount per fl oz of beverage,,,1,49
,61,Guideline amount per cup of hot cereal,,,1,49
,244,Quantity not specified,,,1,49
,244,1 cup,,,1,50
,30.5,1 fl oz,,,1,50
,2.5,Guideline amount per fl oz of beverage,,,1,50
,61,Guideline amount per cup of hot cereal,,,1,50
,244,Quantity not specified,,,1,50
,245,1 cup,,,1,51
,170,1 6 oz container,,,1,51
,170,"1 container, NFS",,,1,51
,113,1 4 oz container,,,1,51
,170,Quantity not specified,,,1,51
,245,1 cup,,,1,52
,170,1 6 oz container,,,1,52
,150,"1 container, NFS",,,1,52
,150,1 5.3 oz container,,,1,52
,150,Quantity not specified,,,1,52
,245,1 cup,,,1,53
,170,1 6 oz container,,,1,53
,170,"1 container, NFS",,,1,53
,113,1 4 oz container,,,1,53
,170,Quantity not specified,,,1,53
,245,1 cup,,,1,54
,170,1 6 oz container,,,1,54
,170,"1 container, NFS",,,1,54
,113,1 4 oz container,,,1,54
,170,Quantity not specified,,,1,54
,245,1 cup,,,1,55
,170,1 6 oz container,,,1,55
,170,"1 container, NFS",,,1,55
,113,1 4 oz container,,,1,55
,170,Quantity not specified,,,1,55
,245,1 cup,,,1,56
,170,1 6 oz container,,,1,56
,170,"1 container, NFS",,,1,56
,113,1 4 oz container,,,1,56
,170,Quantity not specified,,,1,56
,245,1 cup,,,1,57
,170,1 6 oz container,,,1,57
,150,"1 container, NFS",,,1,57
,150,1 5.3 oz container,,,1,57
,150,Quantity not specified,,,1,57
,245,1 cup,,,1,58
,170,"1 container, NFS",,,1,58
,170,1 6 oz container,,,1,58
,113,1 4 oz container,,,1,58
,170,Quantity not specified,,,1,58
,245,1 cup,,,1,59
,170,1 6 oz container,,,1,59
,150,1 5.3 oz container,,,1,59
,150,Quantity not specified,,,1,59
,150,"1 container, NFS",,,1,59
,245,1 cup,,,1,60
,170,1 6 oz container,,,1,60
,150,"1 container, NFS",,,1,60
,150,1 5.3 oz container,,,1,60
,150,Quantity not specified,,,1,60
,245,1 cup,,,1,61
,170,1 6 oz container,,,1,61
,150,"1 container, NFS",,,1,61
,150,1 5.3 oz container,,,1,61
,150,Quantity not specified,,,1,61
,245,1 cup,,,1,62
,170,1 6 oz container,,,1,62
,170,"1 container, NFS",,,1,62
,113,1 4 oz container,,,1,62
,170,Quantity not specified,,,1,62
,245,1 cup,,,1,63
,170,1 6 oz container,,,1,63
,170,"1 container, NFS",,,1,63
,113,1 4 oz container,,,1,63
,170,Quantity not specified,,,1,63
,245,1 cup,,,1,64
,170,1 6 oz container,,,1,64
,170,"1 container, NFS",,,1,64
,64,1 tube,,,1,64
,113,1 4 oz container,,,1,64
,170,Quantity not specified,,,1,64
,245,1 cup,,,1,65
,170,1 6 oz container,,,1,65
,170,"1 container, NFS",,,1,65
,113,1 4 oz container,,,1,65
,170,Quantity not specified,,,1,65
,245,1 cup,,,1,66
,170,1 6 oz container,,,1,66
,150,"1 container, NFS",,,1,66
,150,1 5.3 oz container,,,1,66
,150,Quantity not specified,,,1,66
,245,1 cup,,,1,67
,170,1 6 oz container,,,1,67
,150,"1 container, NFS",,,1,67
,150,1 5.3 oz container,,,1,67
,150,Quantity not specified,,,1,67
,245,1 cup,,,1,68
,170,1 6 oz container,,,1,68
,150,"1 container, NFS",,,1,68
,57,1 tube,,,1,68
,150,1 5.3 oz container,,,1,68
,150,Quantity not specified,,,1,68
,245,1 cup,,,1,69
,170,1 6 oz container,,,1,69
,150,"1 container, NFS",,,1,69
,150,1 5.3 oz container,,,1,69
,150,Quantity not specified,,,1,69
,245,1 cup,,,1,70
,170,1 6 oz container,,,1,70
,170,"1 container, NFS",,,1,70
,170,Quantity not specified,,,1,70
,113,1 4 oz container,,,1,70
,245,1 cup,,,1,71
,170,1 6 oz container,,,1,71
,170,"1 container, NFS",,,1,71
,113,1 4 oz container,,,1,71
,170,Quantity not specified,,,1,71
,245,1 cup,,,1,72
,170,1 6 oz container,,,1,72
,170,"1 container, NFS",,,1,72
,64,1 tube,,,1,72
,113,1 4 oz container,,,1,72
,170,Quantity not specified,,,1,72
,245,1 cup,,,1,73
,170,1 6 oz container,,,1,73
,170,"1 container, NFS",,,1,73
,170,Quantity not specified,,,1,73
,113,1 4 oz container,,,1,73
,245,1 cup,,,1,74
,170,1 6 oz container,,,1,74
,150,"1 container, NFS",,,1,74
,150,1 5.3 oz container,,,1,74
,150,Quantity not specified,,,1,74
,245,1 cup,,,1,75
,170,1 6 oz container,,,1,75
,150,"1 container, NFS",,,1,75
,150,1 5.3 oz container,,,1,75
,150,Quantity not specified,,,1,75
,245,1 cup,,,1,76
,170,1 6 oz container,,,1,76
,150,"1 container, NFS",,,1,76
,57,1 tube,,,1,76
,150,1 5.3 oz container,,,1,76
,150,Quantity not specified,,,1,76
,245,1 cup,,,1,77
,170,1 6 oz container,,,1,77
,150,"1 container, NFS",,,1,77
,150,1 5.3 oz container,,,1,77
,150,Quantity not specified,,,1,77
,245,1 cup,,,1,78
,150,"1 container, NFS",,,1,78
,150,1 5.3 oz container,,,1,78
,150,Quantity not specified,,,1,78
,245,1 cup,,,1,79
,93,1 bottle,,,1,79
,93,Quantity not specified,,,1,79
,15,1 tablespoon,,,1,80
,70,1 individual container,,,1,80
,60,Quantity not specified,,,1,80
,15,1 tablespoon,,,1,81
,70,1 individual container,,,1,81
,60,Quantity not specified,,,1,81
,15,1 tablespoon,,,1,82
,70,1 individual container,,,1,82
,60,Quantity not specified,,,1,82
,15,1 tablespoon,,,1,83
,70,1 individual container,,,1,83
,60,Quantity not specified,,,1,83
,15,1 tablespoon,,,1,84
,70,1 individual container,,,1,84
,60,Quantity not specified,,,1,84
,15,1 tablespoon,,,1,85
,70,1 individual container,,,1,85
,60,Quantity not specified,,,1,85
,150,1 McDonald's parfait,,,1,86
,150,Quantity not specified,,,1,86
,175,1 cup,,,1,87
,160,1 scoop,,,1,87
,480,1 large ice cream cup,,,1,87
,320,1 medium ice cream cup,,,1,87
,160,1 small ice cream cup,,,1,87
,175,Quantity not specified,,,1,87
,175,1 cup,,,1,88
,160,1 scoop,,,1,88
,480,1 large ice cream cup,,,1,88
,160,1 small ice cream cup,,,1,88
,175,Quantity not specified,,,1,88
,320,1 medium ice cream cup,,,1,88
,175,1 cup,,,1,89
,160,1 scoop,,,1,89
,175,Quantity not specified,,,1,89
,480,1 large ice cream cup,,,1,89
,160,1 small ice cream cup,,,1,89
,320,1 medium ice cream cup,,,1,89
,175,1 cup,,,1,90
,175,Quantity not specified,,,1,90
,175,1 cup,,,1,91
,175,Quantity not specified,,,1,91
,15,1 tablespoon,,,1,92
,70,1 individual container,,,1,92
,60,Quantity not specified,,,1,92
,75,1 sandwich,,,1,93
,75,Quantity not specified,,,1,93
,65,1 bar,,,1,94
,65,Quantity not specified,,,1,94
,65,1 bar,,,1,95
,65,Quantity not specified,,,1,95
,125,1 cone,,,1,96
,125,Quantity not specified,,,1,96
,255,1 cone,,,1,97
,255,Quantity not specified,,,1,97
,255,1 cone,,,1,98
,255,Quantity not specified,,,1,98
,113,1 container,,,1,99
,85,Quantity not specified,,,1,99
,113,1 container,,,1,100
,85,Quantity not specified,,,1,100
,113,1 container,,,1,101
,85,Quantity not specified,,,1,101
,125,1 cone,,,1,102
,125,Quantity not specified,,,1,102
,113,1 container,,,1,103
,85,Quantity not specified,,,1,103
,248,1 cup,,,1,104
,31,1 fl oz,,,1,104
,248,1 individual school container,,,1,104
,248,Quantity not specified,,,1,104
,248,1 cup,,,1,105
,31,1 fl oz,,,1,105
,248,1 individual school container,,,1,105
,248,Quantity not specified,,,1,105
,31,1 fl oz,,,1,106
,248,1 cup,,,1,106
,248,1 individual school container,,,1,106
,248,Quantity not specified,,,1,106
,248,1 cup,,,1,107
,31,1 fl oz,,,1,107
,248,1 individual school container,,,1,107
,248,Quantity not specified,,,1,107
,248,1 cup,,,1,108
,31,1 fl oz,,,1,108
,248,1 individual school container,,,1,108
,248,Quantity not specified,,,1,108
,31,1 fl oz,,,1,109
,248,Quantity not specified,,,1,109
,248,1 cup,,,1,109
,248,1 cup,,,1,110
,31,1 fl oz,,,1,110
,248,Quantity not specified,,,1,110
,248,1 cup,,,1,111
,31,1 fl oz,,,1,111
,248,Quantity not specified,,,1,111
,248,1 cup,,,1,112
,31,1 fl oz,,,1,112
,248,Quantity not specified,,,1,112
,248,1 cup,,,1,113
,31,1 fl oz,,,1,113
,248,Quantity not specified,,,1,113
,248,1 cup,,,1,114
,31,1 fl oz,,,1,114
,248,Quantity not specified,,,1,114
,248,1 cup,,,1,115
,31,1 fl oz,,,1,115
,248,Quantity not specified,,,1,115
,248,1 cup,,,1,116
,31,1 fl oz,,,1,116
,248,Quantity not specified,,,1,116
,248,1 cup,,,1,117
,31,1 fl oz,,,1,117
,248,Quantity not specified,,,1,117
,248,1 cup,,,1,118
,31,1 fl oz,,,1,118
,248,Quantity not specified,,,1,118
,248,1 cup,,,1,119
,248,Quantity not specified,,,1,119
,31,1 fl oz,,,1,119
,248,1 cup,,,1,120
,31,1 fl oz,,,1,120
,248,Quantity not specified,,,1,120
,31,1 fl oz,,,1,121
,248,Quantity not specified,,,1,121
,248,1 cup,,,1,121
,248,1 cup,,,1,122
,31,1 fl oz,,,1,122
,248,Quantity not specified,,,1,122
,248,1 cup,,,1,123
,31,1 fl oz,,,1,123
,248,Quantity not specified,,,1,123
,31,1 fl oz,,,1,124
,248,Quantity not specified,,,1,124
,248,1 cup,,,1,124
,248,1 cup,,,1,125
,31,1 fl oz,,,1,125
,248,Quantity not specified,,,1,125
,248,1 cup,,,1,126
,31,1 fl oz,,,1,126
,248,Quantity not specified,,,1,126
,248,1 cup,,,1,127
,31,1 fl oz,,,1,127
,248,Quantity not specified,,,1,127
,248,1 cup,,,1,128
,31,1 fl oz,,,1,128
,248,Quantity not specified,,,1,128
,248,1 cup,,,1,129
,31,1 fl oz,,,1,129
,248,Quantity not specified,,,1,129
,248,1 cup,,,1,130
,31,1 fl oz,,,1,130
,248,Quantity not specified,,,1,130
,248,1 cup,,,1,131
,31,1 fl oz,,,1,131
,248,Quantity not specified,,,1,131
,248,1 cup,,,1,132
,31,1 fl oz,,,1,132
,248,Quantity not specified,,,1,132
,248,1 cup,,,1,133
,31,1 fl oz,,,1,133
,248,Quantity not specified,,,1,133
,31,1 fl oz,,,1,134
,248,1 cup,,,1,134
,248,Quantity not specified,,,1,134
,248,1 cup,,,1,135
,31,1 fl oz,,,1,135
,248,Quantity not specified,,,1,135
,248,1 cup,,,1,136
,31,1 fl oz,,,1,136
,248,Quantity not specified,,,1,136
,248,1 cup,,,1,137
,31,1 fl oz,,,1,137
,248,Quantity not specified,,,1,137
,248,1 cup,,,1,138
,31,1 fl oz,,,1,138
,248,Quantity not specified,,,1,138
,248,1 cup,,,1,139
,31,1 fl oz,,,1,139
,248,Quantity not specified,,,1,139
,248,1 cup,,,1,140
,31,1 fl oz,,,1,140
,248,Quantity not specified,,,1,140
,248,1 cup,,,1,141
,31,1 fl oz,,,1,141
,248,Quantity not specified,,,1,141
,248,1 cup,,,1,142
,248,Quantity not specified,,,1,142
,31,1 fl oz,,,1,142
,248,1 cup,,,1,143
,31,1 fl oz,,,1,143
,248,Quantity not specified,,,1,143
,248,1 cup,,,1,144
,31,1 fl oz,,,1,144
,248,Quantity not specified,,,1,144
,248,1 cup,,,1,145
,248,Quantity not specified,,,1,145
,31,1 fl oz,,,1,145
,248,1 cup,,,1,146
,31,1 fl oz,,,1,146
,248,Quantity not specified,,,1,146
,248,1 cup,,,1,147
,31,1 fl oz,,,1,147
,248,Quantity not specified,,,1,147
,31,1 fl oz,,,1,148
,248,Quantity not specified,,,1,148
,248,1 cup,,,1,148
,248,1 cup,,,1,149
,31,1 fl oz,,,1,149
,248,Quantity not specified,,,1,149
,248,1 cup,,,1,150
,31,1 fl oz,,,1,150
,248,Quantity not specified,,,1,150
,248,1 cup,,,1,151
,31,1 fl oz,,,1,151
,248,Quantity not specified,,,1,151
,248,1 cup,,,1,152
,31,1 fl oz,,,1,152
,248,Quantity not specified,,,1,152
,248,1 cup,,,1,153
,31,1 fl oz,,,1,153
,248,Quantity not specified,,,1,153
,248,1 cup,,,1,154
,31,1 fl oz,,,1,154
,248,Quantity not specified,,,1,154
,248,1 cup,,,1,155
,31,1 fl oz,,,1,155
,248,Quantity not specified,,,1,155
,248,1 cup,,,1,156
,31,1 fl oz,,,1,156
,248,Quantity not specified,,,1,156
,248,1 cup,,,1,157
,31,1 fl oz,,,1,157
,248,Quantity not specified,,,1,157
,248,1 cup,,,1,158
,31,1 fl oz,,,1,158
,248,Quantity not specified,,,1,158
,248,1 cup,,,1,159
,248,Quantity not specified,,,1,159
,31,1 fl oz,,,1,159
,248,1 cup,,,1,160
,31,1 fl oz,,,1,160
,248,Quantity not specified,,,1,160
,248,1 cup,,,1,161
,31,1 fl oz,,,1,161
,206,"1 packet, reconstituted",,,1,161
,206,Quantity not specified,,,1,161
,248,1 cup,,,1,162
,31,1 fl oz,,,1,162
,211,"1 packet, reconstituted",,,1,162
,211,Quantity not specified,,,1,162
,248,1 cup,,,1,163
,211,"1 packet, reconstituted",,,1,163
,211,Quantity not specified,,,1,163
,31,1 fl oz,,,1,163
,248,1 cup,,,1,164
,31,1 fl oz,,,1,164
,211,"1 packet, reconstituted",,,1,164
,211,Quantity not specified,,,1,164
,248,1 cup,,,1,165
,31,1 fl oz,,,1,165
,211,"1 packet, reconstituted",,,1,165
,211,Quantity not specified,,,1,165
,248,1 cup,,,1,166
,31,1 fl oz,,,1,166
,211,"1 packet, reconstituted",,,1,166
,211,Quantity not specified,,,1,166
,248,1 cup,,,1,167
,31,1 fl oz,,,1,167
,194,"1 packet, reconstituted",,,1,167
,194,Quantity not specified,,,1,167
,248,1 cup,,,1,168
,31,1 fl oz,,,1,168
,199,"1 packet, reconstituted",,,1,168
,199,Quantity not specified,,,1,168
,248,1 cup,,,1,169
,31,1 fl oz,,,1,169
,199,"1 packet, reconstituted",,,1,169
,199,Quantity not specified,,,1,169
,248,1 cup,,,1,170
,31,1 fl oz,,,1,170
,199,"1 packet, reconstituted",,,1,170
,199,Quantity not specified,,,1,170
,31,1 fl oz,,,1,171
,248,1 cup,,,1,171
,199,"1 packet, reconstituted",,,1,171
,199,Quantity not specified,,,1,171
,248,1 cup,,,1,172
,31,1 fl oz,,,1,172
,199,"1 packet, reconstituted",,,1,172
,199,Quantity not specified,,,1,172
,248,1 cup,,,1,173
,31,1 fl oz,,,1,173
,248,1 individual school container,,,1,173
,248,Quantity not specified,,,1,173
,248,1 cup,,,1,174
,31,1 fl oz,,,1,174
,248,1 individual school container,,,1,174
,248,Quantity not specified,,,1,174
,248,1 cup,,,1,175
,31,1 fl oz,,,1,175
,248,1 individual school container,,,1,175
,248,Quantity not specified,,,1,175
,248,1 cup,,,1,176
,31,1 fl oz,,,1,176
,248,1 individual school container,,,1,176
,248,Quantity not specified,,,1,176
,248,1 cup,,,1,177
,31,1 fl oz,,,1,177
,248,1 individual school container,,,1,177
,248,Quantity not specified,,,1,177
,248,1 cup,,,1,178
,31,1 fl oz,,,1,178
,248,1 individual school container,,,1,178
,248,Quantity not specified,,,1,178
,248,1 cup,,,1,179
,31,1 fl oz,,,1,179
,248,Quantity not specified,,,1,179
,256,1 cup,,,1,180
,32,1 fl oz,,,1,180
,256,Quantity not specified,,,1,180
,256,1 cup,,,1,181
,32,1 fl oz,,,1,181
,256,Quantity not specified,,,1,181
,224,1 cup,,,1,182
,28,1 fl oz,,,1,182
,280,1 milkshake (10 fl oz),,,1,182
,280,Quantity not specified,,,1,182
,224,1 cup,,,1,183
,28,1 fl oz,,,1,183
,280,1 milkshake (10 fl oz),,,1,183
,280,Quantity not specified,,,1,183
,224,1 cup,,,1,184
,28,1 fl oz,,,1,184
,280,Quantity not specified,,,1,184
,224,1 cup,,,1,185
,28,1 fl oz,,,1,185
,280,Quantity not specified,,,1,185
,28,1 fl oz,,,1,186
,280,1 milkshake (10 fl oz),,,1,186
,280,Quantity not specified,,,1,186
,224,1 cup,,,1,187
,28,1 fl oz,,,1,187
,526,1 medium,,,1,187
,405,1 small,,,1,187
,405,Quantity not specified,,,1,187
,690,1 large,,,1,187
,224,1 cup,,,1,188
,28,1 fl oz,,,1,188
,690,1 large,,,1,188
,526,1 medium,,,1,188
,405,1 small,,,1,188
,405,Quantity not specified,,,1,188
,248,1 cup,,,1,189
,31,1 fl oz,,,1,189
,372,1 bottle (12 fl oz),,,1,189
,372,Quantity not specified,,,1,189
,248,1 cup,,,1,190
,31,1 fl oz,,,1,190
,372,1 bottle (12 fl oz),,,1,190
,372,Quantity not specified,,,1,190
,216,1 cup,,,1,191
,27,1 fl oz,,,1,191
,324,Quantity not specified,,,1,191
,216,1 cup,,,1,192
,27,1 fl oz,,,1,192
,1080,1 large,,,1,192
,864,1 medium,,,1,192
,540,1 small,,,1,192
,324,Quantity not specified,,,1,192
,216,1 cup,,,1,193
,27,1 fl oz,,,1,193
,1080,1 large,,,1,193
,864,1 medium,,,1,193
,540,1 small,,,1,193
,324,Quantity not specified,,,1,193
,216,1 cup,,,1,194
,27,1 fl oz,,,1,194
,1080,1 large,,,1,194
,864,1 medium,,,1,194
,540,1 small,,,1,194
,324,Quantity not specified,,,1,194
,248,1 cup,,,1,195
,31,1 fl oz,,,1,195
,248,Quantity not specified,,,1,195
,30.5,1 fl oz,,,1,196
,-9,Quantity not specified,,,1,196
,30.5,1 fl oz,,,1,197
,-9,Quantity not specified,,,1,197
,216,1 cup,,,1,198
,27,1 fl oz,,,1,198
,1080,1 large,,,1,198
,864,1 medium,,,1,198
,540,1 small,,,1,198
,324,Quantity not specified,,,1,198
,30.5,1 fl oz,,,1,199
,-9,Quantity not specified,,,1,199
,30.5,1 fl oz,,,1,200
,-9,Quantity not specified,,,1,200
,30.5,1 fl oz,,,1,201
,-9,Quantity not specified,,,1,201
,30.5,1 fl oz,,,1,202
,-9,Quantity not specified,,,1,202
,30.4,1 fl oz,,,1,203
,-9,Quantity not specified,,,1,203
,30.4,1 fl oz,,,1,204
,-9,Quantity not specified,,,1,204
,30.4,1 fl oz,,,1,205
,-9,Quantity not specified,,,1,205
,30.5,1 fl oz,,,1,206
,-9,Quantity not specified,,,1,206
,30.4,1 fl oz,,,1,207
,-9,Quantity not specified,,,1,207
,30.4,1 fl oz,,,1,208
,-9,Quantity not specified,,,1,208
,-9,Quantity not specified,,,1,209
,30.5,1 fl oz,,,1,209
,30.4,1 fl oz,,,1,210
,-9,Quantity not specified,,,1,210
,30.4,1 fl oz,,,1,211
,-9,Quantity not specified,,,1,211
,30.4,1 fl oz,,,1,212
,-9,Quantity not specified,,,1,212
,30.4,1 fl oz,,,1,213
,-9,Quantity not specified,,,1,213
,30.5,1 fl oz,,,1,214
,-9,Quantity not specified,,,1,214
,30.5,1 fl oz,,,1,215
,-9,Quantity not specified,,,1,215
,30.5,1 fl oz,,,1,216
,-9,Quantity not specified,,,1,216
,30.5,1 fl oz,,,1,217
,-9,Quantity not specified,,,1,217
,30.5,1 fl oz,,,1,218
,-9,Quantity not specified,,,1,218
,30.5,1 fl oz,,,1,219
,-9,Quantity not specified,,,1,219
,-9,Quantity not specified,,,1,220
,30.4,1 fl oz,,,1,220
,30.4,1 fl oz,,,1,221
,-9,Quantity not specified,,,1,221
,30.4,1 fl oz,,,1,222
,-9,Quantity not specified,,,1,222
,30.5,1 fl oz,,,1,223
,-9,Quantity not specified,,,1,223
,30.4,1 fl oz,,,1,224
,-9,Quantity not specified,,,1,224
,30.4,1 fl oz,,,1,225
,-9,Quantity not specified,,,1,225
,30.4,1 fl oz,,,1,226
